id,fish_id,nutrient_category_id,nutritional_value
1,1,1,86
2,1,2,16.8
3,1,3,2.3
4,1,4,0.1
5,1,5,15
6,1,6,0.4
7,1,7,26
8,1,8,1
9,1,9,3.4
10,1,10,0.7
11,1,11,201
12,2,1,112
13,2,2,19.7
14,2,3,4.5
15,2,4,0.1
16,2,5,66
17,2,6,1.1
18,2,7,7
19,2,8,8.9
20,2,9,0.6
21,2,10,7.1
22,2,11,870
23,3,1,146
24,3,2,17.3
25,3,3,9.3
26,3,4,0.1
27,3,5,75
28,3,6,0.7
29,3,7,500
30,3,8,0.4
31,3,9,2.3
32,3,10,2.3
33,3,11,1110
34,4,1,102
35,4,2,18.8
36,4,3,3.6
37,4,4,0.2
38,4,5,58
39,4,6,0.3
40,4,7,27
41,4,8,1
42,4,9,1.3
43,4,10,2.1
44,4,11,510
45,5,1,54
46,5,2,13
47,5,3,0.2
48,5,4,0.1
49,5,5,8
50,5,6,0.6
51,5,7,13
52,5,8,1
53,5,9,0.7
54,5,10,1.2
55,5,11,29
56,6,1,116
57,6,2,17.2
58,6,3,5.7
59,6,4,0.1
60,6,5,22
61,6,6,0.6
62,6,7,41
63,6,8,15
64,6,9,0.9
65,6,10,5.8
66,6,11,1160
67,7,1,156
68,7,2,19.2
69,7,3,9.2
70,7,4,7.9
71,7,5,74
72,7,6,1.6
73,7,7,8
74,7,8,32
75,7,9,2.5
76,7,10,16
77,7,11,1650
78,8,1,228
79,8,2,17.1
80,8,3,19.3
81,8,4,0.1
82,8,5,130
83,8,6,1.4
84,8,7,2400
85,8,8,18
86,8,9,7.4
87,8,10,3.5
88,8,11,1680
89,9,1,83
90,9,2,19.3
91,9,3,1.1
92,9,4,0.1
93,9,5,57
94,9,6,0.5
95,9,7,3
96,9,8,2
97,9,9,0.3
98,9,10,1.2
99,9,11,244
100,10,1,139
101,10,2,19.2
102,10,3,7.6
103,10,4,3.5
104,10,5,3
105,10,6,0.7
106,10,7,61
107,10,8,8.8
108,10,9,4.4
109,10,10,1.9
110,10,11,710
111,11,1,108
112,11,2,25.8
113,11,3,0.5
114,11,4,0.2
115,11,5,11
116,11,6,0.8
117,11,7,5
118,11,8,4
119,11,9,0.3
120,11,10,8.4
121,11,11,159
122,12,1,89
123,12,2,19.6
124,12,3,1.3
125,12,4,0.2
126,12,5,43
127,12,6,0.8
128,12,7,5
129,12,8,13
130,12,9,1.5
131,12,10,3.1
132,12,11,276
133,13,1,73
134,13,2,18.5
135,13,3,0.2
136,13,4,0.1
137,13,5,27
138,13,6,0.4
139,13,7,1
140,13,8,0.7
141,13,9,0.4
142,13,10,2.2
143,13,11,48
144,14,1,147
145,14,2,17.8
146,14,3,9
147,14,4,0.1
148,14,5,31
149,14,6,0.3
150,14,7,63
